SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.420100	2022-10-05T10:34:56+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.457400	2022-10-05T04:16:34+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.427400	2022-10-05T04:16:34+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.327400	2022-10-05T04:16:34+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.788100	2022-10-05T04:07:53+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.758100	2022-10-05T04:07:53+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.658100	2022-10-05T04:07:53+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.556500	2022-10-05T03:43:40+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.526500	2022-10-05T03:43:40+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.426500	2022-10-05T03:43:40+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.798100	2022-10-04T23:13:35+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.768100	2022-10-04T23:13:35+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.668100	2022-10-04T23:13:35+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.459100	2022-10-04T22:49:05+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.429100	2022-10-04T22:49:05+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.329100	2022-10-04T22:49:05+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.557300	2022-10-04T20:25:25+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.527300	2022-10-04T20:25:25+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.427300	2022-10-04T20:25:25+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Windows	1.001200	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Windows	1.001200	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Windows	1.001200	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.564400	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.801700	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.461300	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.534400	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.771700	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.431300	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.434400	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.671700	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.331300	2022-10-04T18:33:43+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.461300	2022-10-04T18:11:13+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.431300	2022-10-04T18:11:13+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.331300	2022-10-04T18:11:13+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.801700	2022-10-04T16:13:08+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.771700	2022-10-04T16:13:08+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.671700	2022-10-04T16:13:08+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.564400	2022-10-04T15:05:15+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.534400	2022-10-04T15:05:15+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.434400	2022-10-04T15:05:15+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.464400	2022-10-04T12:59:19+00:00
