us-east-1b,m4.4xlarge,Linux/UNIX,0.367100,2022-10-07T03:27:02+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.373900,2022-10-07T02:52:02+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.408800,2022-10-07T02:17:10+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.343700,2022-10-07T01:16:03+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.400000,2022-10-07T01:16:03+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.347300,2022-10-07T01:16:03+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.366300,2022-10-06T22:30:30+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.408700,2022-10-06T20:11:07+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.373300,2022-10-06T20:02:05+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.399000,2022-10-06T19:36:04+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.346100,2022-10-06T19:01:03+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.342100,2022-10-06T18:26:20+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.361600,2022-10-06T15:40:19+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.408800,2022-10-06T15:14:02+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.341500,2022-10-06T13:37:36+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.399800,2022-10-06T13:28:47+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.372500,2022-10-06T12:53:38+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.345800,2022-10-06T12:45:05+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.360600,2022-10-06T08:32:22+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.341200,2022-10-06T08:23:29+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.409200,2022-10-06T08:15:02+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.400500,2022-10-06T07:40:10+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.345000,2022-10-06T06:56:36+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.373100,2022-10-06T06:47:31+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.341400,2022-10-06T03:22:16+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.405500,2022-10-06T02:38:40+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.361000,2022-10-06T02:12:19+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.373400,2022-10-06T01:28:32+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.410400,2022-10-06T01:11:02+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.345400,2022-10-06T00:09:32+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.341200,2022-10-05T20:48:44+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.359600,2022-10-05T20:48:44+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.374100,2022-10-05T20:48:44+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.404100,2022-10-05T20:40:08+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.412600,2022-10-05T19:39:12+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.346500,2022-10-05T18:12:08+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.373700,2022-10-05T15:34:03+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.403500,2022-10-05T15:34:03+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.358300,2022-10-05T14:50:34+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.340500,2022-10-05T14:41:32+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.412800,2022-10-05T12:22:03+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.347000,2022-10-05T12:22:03+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.375300,2022-10-05T10:55:06+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.405100,2022-10-05T08:26:30+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.359200,2022-10-05T08:09:31+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.341900,2022-10-05T07:43:29+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.413300,2022-10-05T06:42:02+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.349000,2022-10-05T05:06:06+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.377400,2022-10-05T04:14:06+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.407500,2022-10-05T01:28:18+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.416700,2022-10-05T01:19:33+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.359500,2022-10-05T00:53:04+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.344000,2022-10-05T00:18:16+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.349900,2022-10-04T22:07:10+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.379100,2022-10-04T21:58:42+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.408300,2022-10-04T19:03:27+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.419400,2022-10-04T18:54:46+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.358300,2022-10-04T18:28:35+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.344500,2022-10-04T17:44:55+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.380400,2022-10-04T17:00:41+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.350400,2022-10-04T15:07:21+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.420300,2022-10-04T13:57:12+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.357700,2022-10-04T13:04:39+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.405000,2022-10-04T12:12:57+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.343900,2022-10-04T11:37:35+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.380200,2022-10-04T09:35:17+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.350600,2022-10-04T07:42:08+00:00
us-east-1c,m4.4xlarge,Linux/UNIX,0.422000,2022-10-04T07:15:37+00:00
us-east-1b,m4.4xlarge,Linux/UNIX,0.358200,2022-10-04T06:58:05+00:00
us-east-1a,m4.4xlarge,Linux/UNIX,0.406500,2022-10-04T05:40:22+00:00
us-east-1e,m4.4xlarge,Linux/UNIX,0.379900,2022-10-04T04:47:35+00:00
us-east-1f,m4.4xlarge,Linux/UNIX,0.343400,2022-10-04T04:38:38+00:00
us-east-1d,m4.4xlarge,Linux/UNIX,0.350500,2022-10-04T02:36:41+00:00
